desc,sql,tag,dialect
Find orders with amount greater than 661,SELECT * FROM orders WHERE amount > 916 LIMIT 100,Finance,BigQuery
Find events with url greater than 281,SELECT * FROM events WHERE url > 224 LIMIT 100,Engineering,BigQuery
Find users with signup_date greater than 747,SELECT * FROM users WHERE signup_date > 11 LIMIT 100,Finance,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Finance,Snowflake
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Support,BigQuery
Find products with price greater than 108,SELECT * FROM products WHERE price > 60 LIMIT 100,Marketing,BigQuery
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Finance,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Find events with event_id greater than 874,SELECT * FROM events WHERE event_id > 128 LIMIT 100,Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Product,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Find products with id greater than 407,SELECT * FROM products WHERE id > 579 LIMIT 100,Marketing,BigQuery
Find products with category greater than 949,SELECT * FROM products WHERE category > 904 LIMIT 100,Finance,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Count total users by email,"SELECT email, count(*) FROM users GROUP BY email ORDER BY 2 DESC",Engineering,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Calculate average event_type in events,SELECT avg(event_type) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total orders by user_id,"SELECT user_id, count(*) FROM orders GROUP BY user_id ORDER BY 2 DESC",Marketing,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Find logs with timestamp greater than 319,SELECT * FROM logs WHERE timestamp > 703 LIMIT 100,Product,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find users with signup_date greater than 892,SELECT * FROM users WHERE signup_date > 293 LIMIT 100,Sales,BigQuery
Find events with session_id greater than 539,SELECT * FROM events WHERE session_id > 793 LIMIT 100,Engineering,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Support,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Find orders with created_at greater than 390,SELECT * FROM orders WHERE created_at > 276 LIMIT 100,Product,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,Postgres
Find orders with created_at greater than 924,SELECT * FROM orders WHERE created_at > 938 LIMIT 100,Marketing,Postgres
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Engineering,Snowflake
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Snowflake
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Engineering,Postgres
Find events with event_type greater than 115,SELECT * FROM events WHERE event_type > 402 LIMIT 100,Product,BigQuery
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Sales,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Marketing,Postgres
Count total orders by user_id,"SELECT user_id, count(*) FROM orders GROUP BY user_id ORDER BY 2 DESC",Product,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Support,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Marketing,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average event_type in events,SELECT avg(event_type) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Find orders with amount greater than 988,SELECT * FROM orders WHERE amount > 646 LIMIT 100,Sales,BigQuery
Find users with signup_date greater than 126,SELECT * FROM users WHERE signup_date > 420 LIMIT 100,Marketing,Snowflake
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Engineering,Postgres
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Sales,BigQuery
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Marketing,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Support,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,Postgres
Find products with id greater than 238,SELECT * FROM products WHERE id > 573 LIMIT 100,Support,Snowflake
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Product,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Product,BigQuery
Find events with timestamp greater than 221,SELECT * FROM events WHERE timestamp > 680 LIMIT 100,Support,Snowflake
Find products with id greater than 874,SELECT * FROM products WHERE id > 475 LIMIT 100,Sales,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Count total events by event_type,"SELECT event_type, count(*) FROM events GROUP BY event_type ORDER BY 2 DESC",Support,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Postgres
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Finance,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Sales,Snowflake
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Support,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Find subscriptions with plan_type greater than 737,SELECT * FROM subscriptions WHERE plan_type > 675 LIMIT 100,Engineering,BigQuery
Find subscriptions with id greater than 585,SELECT * FROM subscriptions WHERE id > 501 LIMIT 100,Product,BigQuery
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Marketing,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Finance,BigQuery
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Find events with timestamp greater than 766,SELECT * FROM events WHERE timestamp > 627 LIMIT 100,Engineering,BigQuery
Find orders with created_at greater than 709,SELECT * FROM orders WHERE created_at > 86 LIMIT 100,Engineering,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Finance,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Product,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Find users with status greater than 989,SELECT * FROM users WHERE status > 198 LIMIT 100,Product,Postgres
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Finance,Snowflake
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Engineering,BigQuery
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Support,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Support,Snowflake
Find logs with id greater than 699,SELECT * FROM logs WHERE id > 131 LIMIT 100,Product,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Finance,BigQuery
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Product,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Engineering,Postgres
Find subscriptions with user_id greater than 195,SELECT * FROM subscriptions WHERE user_id > 697 LIMIT 100,Product,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Find logs with service_name greater than 720,SELECT * FROM logs WHERE service_name > 608 LIMIT 100,Engineering,BigQuery
Find subscriptions with plan_type greater than 182,SELECT * FROM subscriptions WHERE plan_type > 14 LIMIT 100,Sales,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Product,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Marketing,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Engineering,BigQuery
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find users with signup_date greater than 53,SELECT * FROM users WHERE signup_date > 694 LIMIT 100,Engineering,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,Postgres
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Product,BigQuery
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Product,BigQuery
Count total users by signup_date,"SELECT signup_date, count(*) FROM users GROUP BY signup_date ORDER BY 2 DESC",Marketing,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Engineering,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Product,Snowflake
Find orders with created_at greater than 614,SELECT * FROM orders WHERE created_at > 80 LIMIT 100,Engineering,Snowflake
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Product,BigQuery
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Product,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Support,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Engineering,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,Snowflake
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Engineering,Snowflake
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Find subscriptions with mrr greater than 978,SELECT * FROM subscriptions WHERE mrr > 802 LIMIT 100,Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,BigQuery
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Sales,Postgres
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Finance,BigQuery
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Find products with price greater than 630,SELECT * FROM products WHERE price > 996 LIMIT 100,Engineering,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Find orders with created_at greater than 928,SELECT * FROM orders WHERE created_at > 610 LIMIT 100,Finance,Snowflake
Find users with id greater than 658,SELECT * FROM users WHERE id > 817 LIMIT 100,Engineering,BigQuery
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Product,BigQuery
Find users with email greater than 105,SELECT * FROM users WHERE email > 418 LIMIT 100,Support,BigQuery
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Engineering,BigQuery
Find orders with user_id greater than 217,SELECT * FROM orders WHERE user_id > 864 LIMIT 100,Engineering,BigQuery
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Support,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Find subscriptions with start_date greater than 899,SELECT * FROM subscriptions WHERE start_date > 291 LIMIT 100,Marketing,Postgres
Find subscriptions with start_date greater than 778,SELECT * FROM subscriptions WHERE start_date > 600 LIMIT 100,Engineering,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Finance,Postgres
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Sales,BigQuery
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Marketing,BigQuery
Find products with name greater than 444,SELECT * FROM products WHERE name > 225 LIMIT 100,Marketing,BigQuery
Find products with stock_level greater than 471,SELECT * FROM products WHERE stock_level > 194 LIMIT 100,Product,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Product,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Finance,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Find orders with created_at greater than 470,SELECT * FROM orders WHERE created_at > 772 LIMIT 100,Sales,Snowflake
Find products with category greater than 964,SELECT * FROM products WHERE category > 839 LIMIT 100,Sales,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Product,Snowflake
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Product,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Find events with timestamp greater than 287,SELECT * FROM events WHERE timestamp > 918 LIMIT 100,Marketing,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Marketing,Postgres
